,ethnicity,gender,county,employment_status,primary_language,household_size,education,age
473,hispanic-black,male,Franklin County,employed,english,1,associate's degree,59
474,hispanic-white,male,Jefferson County,employed,spanish,1,less than high school,47
475,hispanic-white,male,Liberty County,employed,english,NA,less than high school,55
476,African American,female,Hernando County,employed,english,1,bachelor's degree,49
477,Native American and Alaskan Native,female,Lafayette County,employed,english,1,high school,60
478,caucasian,female,Hamilton County,employed,english,4,high school,22
479,caucasion,male,Marion County,employed,english,1,high school,46
480,Asian,male,Hamilton County,employed,english,1,high school,37
481,hispanic-white,male,Gilchrist County,employed,english,3,high school,39
482,white,female,Liberty County,employed,english,1,bachelor's degree,52
483,hispanic-white,female,Orange County,employed,spanish,1,high school,57
484,hispanic-black,female,Gilchrist County,employed,english,1,graduate degree,29
485,hispanic-white,female,Okeechobee County,employed,english,1,high school,37
486,hispanic-white,female,Calhoun County,employed,english,1,bachelor's degree,59
487,Native American,male,Hardee County,employed,english,1,less than high school,31
488,African American,female,Liberty County,employed,english,4,graduate degree,46
489,hispanic-white,male,Baker County,employed,english,3,high school,35
490,Asian,male,Taylor County,employed,english,1,high school,58
491,Native American and Alaskan Native,female,Liberty County,unemployed,english,1,less than high school,45
492,hispanic-white,female,Franklin County,employed,english,1,high school,54
493,caucasian,male,Baker County,employed,english,1,high school,39
494,hispanic-white,female,Gilchrist County,employed,english,NA,high school,57
495,Pacific Islander,female,Taylor County,unemployed,english,3,high school,56
496,black,male,Glades County,employed,spanish,4,bachelor's degree,59
497,caucasion,male,Glades County,employed,english,3,less than high school,54
498,Asian,female,Union County,employed,english,1,high school,20
499,caucasion,female,Gulf County,employed,english,1,trade school or other certification,30
500,Native American,female,Franklin County,employed,english,1,less than high school,43
501,white,female,Calhoun County,employed,english,1,associate's degree,43
502,caucasion,female,Washington County,employed,english,1,high school,30
503,hispanic-black,female,Hamilton County,unemployed,english,NA,bachelor's degree,57
504,caucasion,male,Lafayette County,employed,english,3,trade school or other certification,24
505,white,male,Putnam County,employed,english,3,trade school or other certification,52
506,Native American and Alaskan Native,female,Union County,employed,english,1,high school,25
507,caucasion,female,Washington County,employed,english,NA,high school,35
508,caucasion,male,Hamilton County,employed,english,NA,less than high school,39
509,Native American and Alaskan Native,male,Jefferson County,employed,english,4,high school,44
510,hispanic-black,male,Madison County,employed,english,1,bachelor's degree,48
511,hispanic-white,female,Franklin County,employed,spanish,1,associate's degree,58
512,caucasian,male,Union County,employed,english,1,some university,29
513,caucasion,male,Hendry County,employed,english,4,high school,43
514,white,female,Union County,employed,spanish,1,bachelor's degree,30
515,Asian,male,Liberty County,employed,english,2,high school,22
516,Pacific Islander,male,Osceola County,unemployed,other,NA,high school,27
517,hispanic-white,male,Calhoun County,employed,english,1,high school,40
518,white,female,Jackson County,employed,english,1,bachelor's degree,30
519,Other,female,Hendry County,employed,english,1,less than high school,52
520,caucasian,male,Washington County,employed,spanish,1,high school,39
521,white,female,Suwannee County,employed,english,3,some university,29
522,white,female,Leon County,employed,spanish,1,high school,39
523,hispanic-white,female,Calhoun County,employed,english,2,graduate degree,20
524,caucasian,female,Glades County,employed,english,NA,some university,31
525,Asian,female,Dixie County,unemployed,english,NA,high school,44
526,hispanic-white,male,Holmes County,employed,english,NA,associate's degree,34
527,caucasion,male,Flagler County,employed,english,4,trade school or other certification,30
528,African American,female,Union County,employed,english,1,bachelor's degree,51
529,hispanic-white,female,Taylor County,employed,english,1,trade school or other certification,36
530,black,female,Washington County,employed,english,1,high school,51
531,hispanic-black,female,Jefferson County,employed,english,1,high school,36
532,hispanic-white,male,Santa Rosa County,employed,spanish,NA,high school,45
533,hispanic-black,male,Union County,employed,english,3,some university,42
534,caucasion,female,Gilchrist County,employed,english,NA,high school,21
535,white,female,Gilchrist County,employed,english,2,bachelor's degree,31
536,hispanic-white,male,Holmes County,employed,english,NA,associate's degree,54
537,hispanic-black,male,Liberty County,employed,other,1,high school,51
538,caucasion,female,Gulf County,employed,english,3,high school,44
539,asian,female,Calhoun County,employed,english,1,high school,27
540,caucasion,female,Liberty County,unemployed,english,1,graduate degree,36
541,white,male,Hardee County,employed,spanish,1,associate's degree,43
542,white,female,Washington County,unemployed,english,4,graduate degree,23
543,caucasion,female,Hardee County,employed,english,1,bachelor's degree,35
544,caucasion,male,Liberty County,employed,english,1,less than high school,31
545,hispanic-white,female,Washington County,employed,english,1,high school,56
546,white,female,Washington County,employed,english,NA,high school,57
547,hispanic-black,female,Osceola County,employed,english,1,trade school or other certification,27
548,Pacific Islander,female,Baker County,employed,english,1,high school,36
549,hispanic-white,male,Union County,employed,other,4,associate's degree,31
550,hispanic-white,female,Okeechobee County,employed,english,1,associate's degree,47
551,hispanic-white,male,Bradford County,unemployed,english,3,bachelor's degree,59
552,Asian,male,Lafayette County,employed,spanish,1,some university,47
553,white,male,Nassau County,employed,english,1,trade school or other certification,25
554,hispanic-white,male,Franklin County,employed,english,1,less than high school,51
555,hispanic-black,male,Glades County,employed,english,3,graduate degree,52
556,white,female,Gulf County,employed,english,1,high school,60
557,caucasion,female,Lafayette County,employed,english,3,high school,41
558,caucasion,female,Jefferson County,unemployed,english,3,associate's degree,46
559,hispanic-white,female,Hamilton County,employed,english,2,less than high school,48
560,caucasion,female,Madison County,employed,english,NA,some university,27
561,white,female,Lafayette County,employed,english,4,trade school or other certification,20
562,caucasion,female,Jefferson County,employed,english,NA,less than high school,46
563,Other,female,Bay County,employed,spanish,1,trade school or other certification,48
564,Pacific Islander,male,Gilchrist County,employed,english,1,high school,44
565,African American,female,Lafayette County,unemployed,spanish,2,high school,21
566,hispanic-white,female,Madison County,employed,english,1,high school,46
567,hispanic-white,male,Liberty County,employed,english,1,high school,49
568,hispanic-white,male,Levy County,employed,english,1,high school,37
569,hispanic-black,female,Gulf County,employed,english,1,some university,39
570,Asian,male,Baker County,unemployed,english,4,trade school or other certification,57
571,caucasion,female,Wakulla County,unemployed,english,2,trade school or other certification,23
572,black,female,St. Lucie County,employed,english,NA,high school,32
573,caucasion,female,Lafayette County,employed,english,4,high school,46
574,caucasion,female,Gulf County,employed,english,1,high school,41
575,white,female,Liberty County,employed,english,NA,less than high school,48
576,Native American and Alaskan Native,female,Jefferson County,employed,english,NA,bachelor's degree,38
577,white,female,Glades County,employed,english,NA,high school,29
578,Native American and Alaskan Native,female,Jackson County,employed,english,1,high school,37
579,caucasion,male,Taylor County,employed,english,1,less than high school,27
580,hispanic-black,female,Hardee County,employed,english,2,high school,21
581,caucasion,female,Hendry County,employed,english,1,less than high school,43
582,hispanic-white,female,Jefferson County,employed,english,NA,high school,58
583,caucasion,male,Bay County,unemployed,spanish,NA,high school,40
584,African American,female,Flagler County,employed,english,2,less than high school,60
585,hispanic-black,female,Lafayette County,employed,english,NA,graduate degree,49
586,hispanic-white,male,Flagler County,employed,english,1,high school,24
